epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.869,0.96674,1.25436,0.80997,0.96798,0.9596,0.97837,0.56776,1.41528,0.57548,0.84461,0.0675301,0.000662651,0.000662651
2,196.107,0.92444,0.41177,0.8077,0.9769,0.94949,0.98216,0.65329,1.18022,0.48494,0.83257,0.0348569,0.00132274,0.00132274
3,285.45,0.92892,0.39941,0.80791,0.93856,0.96007,0.97555,0.58467,1.44015,0.5736,0.85075,0.00217703,0.00197622,0.00197622
4,374.288,0.92747,0.40204,0.80712,0.9531,0.94837,0.9737,0.58577,1.44036,0.57418,0.85006,0.0019703,0.0019703,0.0019703
5,463.313,0.9431,0.40501,0.80993,0.97466,0.95623,0.98017,0.65003,1.21797,0.49628,0.83655,0.0019604,0.0019604,0.0019604
6,554.104,0.93736,0.40149,0.80937,0.96612,0.95398,0.97597,0.63414,1.24566,0.51776,0.83531,0.0019505,0.0019505,0.0019505
7,642.834,0.93667,0.40495,0.80833,0.97568,0.94541,0.98402,0.65595,1.17475,0.50009,0.82984,0.0019406,0.0019406,0.0019406
8,731.513,0.92913,0.39994,0.80713,0.964,0.9317,0.97634,0.58951,1.40061,0.56714,0.84678,0.0019307,0.0019307,0.0019307
9,820.74,0.93074,0.40046,0.81012,0.96762,0.96296,0.98228,0.66261,1.15894,0.48195,0.82932,0.0019208,0.0019208,0.0019208
10,910.816,0.93672,0.39947,0.80926,0.97613,0.96857,0.97994,0.65839,1.16383,0.47786,0.83015,0.0019109,0.0019109,0.0019109
11,1000.26,0.93449,0.39986,0.80776,0.97683,0.94837,0.98208,0.65372,1.20174,0.49241,0.83287,0.001901,0.001901,0.001901
12,1089.15,0.92243,0.39942,0.80829,0.97582,0.95115,0.98241,0.62094,1.35991,0.53347,0.84416,0.0018911,0.0018911,0.0018911
13,1178.47,0.93109,0.39841,0.8089,0.97388,0.94276,0.98048,0.61524,1.33461,0.5367,0.84183,0.0018812,0.0018812,0.0018812
14,1267.58,0.9294,0.39498,0.80674,0.96294,0.96245,0.9809,0.64629,1.2186,0.50639,0.83269,0.0018713,0.0018713,0.0018713
15,1357.03,0.92586,0.39777,0.80783,0.94643,0.93199,0.97058,0.60981,1.32792,0.55019,0.83872,0.0018614,0.0018614,0.0018614
16,1446.28,0.92062,0.39746,0.80744,0.95696,0.94825,0.97741,0.61939,1.33337,0.54444,0.84169,0.0018515,0.0018515,0.0018515
17,1535.11,0.92674,0.39801,0.80839,0.95775,0.94125,0.97715,0.55889,1.55685,0.59514,0.86072,0.0018416,0.0018416,0.0018416
18,1625.94,0.91156,0.39232,0.80768,0.96384,0.91358,0.97058,0.58346,1.42128,0.59008,0.84767,0.0018317,0.0018317,0.0018317
19,1715.4,0.92059,0.39545,0.80802,0.93804,0.94388,0.97581,0.61486,1.33162,0.55489,0.84128,0.0018218,0.0018218,0.0018218
20,1804.43,0.92471,0.39696,0.81001,0.95062,0.96072,0.9803,0.58943,1.42219,0.55027,0.85009,0.0018119,0.0018119,0.0018119
21,1893.35,0.92683,0.39504,0.80708,0.96402,0.96216,0.98297,0.65839,1.1921,0.49132,0.8316,0.001802,0.001802,0.001802
22,1984.47,0.91347,0.3947,0.808,0.95781,0.9427,0.97749,0.61615,1.34693,0.54965,0.84166,0.0017921,0.0017921,0.0017921
23,2073.83,0.91154,0.3948,0.8056,0.97595,0.9564,0.97745,0.66004,1.18806,0.47522,0.83388,0.0017822,0.0017822,0.0017822
24,2162.68,0.91321,0.39389,0.80621,0.96611,0.9278,0.97083,0.65182,1.17908,0.58284,0.82973,0.0017723,0.0017723,0.0017723
25,2251.64,0.91263,0.39164,0.8056,0.98026,0.95174,0.98086,0.65741,1.18881,0.48392,0.83215,0.0017624,0.0017624,0.0017624
26,2341.96,0.91314,0.39406,0.80794,0.9476,0.95735,0.97763,0.53956,1.60787,0.61283,0.86578,0.0017525,0.0017525,0.0017525
27,2431.27,0.90851,0.39043,0.80434,0.97109,0.94725,0.97926,0.61197,1.35156,0.54544,0.84382,0.0017426,0.0017426,0.0017426
28,2520.34,0.9185,0.39366,0.80742,0.94832,0.94501,0.97419,0.56935,1.491,0.58723,0.85518,0.0017327,0.0017327,0.0017327
29,2609.07,0.91635,0.39214,0.80747,0.97434,0.96745,0.98033,0.65097,1.1829,0.48764,0.8327,0.0017228,0.0017228,0.0017228
30,2698.23,0.90873,0.39018,0.80785,0.96496,0.95826,0.98178,0.6289,1.28694,0.51024,0.83811,0.0017129,0.0017129,0.0017129
31,2787.54,0.90849,0.38897,0.80589,0.95708,0.96745,0.98288,0.65961,1.18316,0.48834,0.83231,0.001703,0.001703,0.001703
32,2877.03,0.91257,0.39269,0.80796,0.97255,0.95423,0.9822,0.65716,1.18176,0.489,0.8313,0.0016931,0.0016931,0.0016931
33,2965.91,0.91788,0.39047,0.80392,0.95957,0.95735,0.98025,0.6288,1.28533,0.52232,0.83903,0.0016832,0.0016832,0.0016832
34,3056.17,0.91956,0.39193,0.80901,0.97728,0.94164,0.97998,0.64923,1.18386,0.50243,0.83263,0.0016733,0.0016733,0.0016733
35,3145.79,0.91421,0.38964,0.8077,0.94256,0.95768,0.97625,0.59909,1.38893,0.55039,0.84767,0.0016634,0.0016634,0.0016634
36,3235.38,0.9121,0.39203,0.80733,0.98387,0.96745,0.98162,0.64433,1.17567,0.48136,0.83075,0.0016535,0.0016535,0.0016535
37,3324.24,0.9146,0.39022,0.80689,0.971,0.95398,0.97829,0.60861,1.34015,0.53227,0.84388,0.0016436,0.0016436,0.0016436
38,3413.21,0.91435,0.39369,0.80927,0.97463,0.95062,0.97471,0.65231,1.19185,0.49967,0.83387,0.0016337,0.0016337,0.0016337
39,3502.24,0.90524,0.38704,0.80633,0.97062,0.96404,0.98316,0.65317,1.23018,0.49473,0.83404,0.0016238,0.0016238,0.0016238
40,3591.02,0.92305,0.3951,0.80836,0.96878,0.95511,0.98168,0.64638,1.19845,0.49443,0.83365,0.0016139,0.0016139,0.0016139
41,3680.22,0.8989,0.38608,0.80631,0.97055,0.96172,0.98122,0.64732,1.18282,0.48001,0.83167,0.001604,0.001604,0.001604
42,3769.43,0.90308,0.38682,0.80852,0.97817,0.95623,0.97879,0.65002,1.18783,0.48242,0.83319,0.0015941,0.0015941,0.0015941
43,3858.72,0.89461,0.38689,0.80483,0.95364,0.94501,0.97294,0.57585,1.44682,0.57393,0.85137,0.0015842,0.0015842,0.0015842
44,3947.68,0.90676,0.39008,0.80643,0.98183,0.96409,0.98396,0.66355,1.16773,0.46706,0.83072,0.0015743,0.0015743,0.0015743
45,4037.12,0.90276,0.38753,0.80504,0.96347,0.95174,0.97692,0.61813,1.3202,0.53398,0.84129,0.0015644,0.0015644,0.0015644
46,4127.62,0.89433,0.38185,0.80689,0.97892,0.95511,0.97809,0.64998,1.18889,0.48855,0.83447,0.0015545,0.0015545,0.0015545
47,4217.4,0.90398,0.38789,0.80479,0.98117,0.94725,0.98009,0.62527,1.30151,0.52281,0.84321,0.0015446,0.0015446,0.0015446
48,4306.61,0.90024,0.38478,0.80403,0.9784,0.96611,0.9835,0.65992,1.16135,0.47167,0.8296,0.0015347,0.0015347,0.0015347
